@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'om/litvin/israelweather/d/a(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)','android/widget/ProgressBar/setProgress(int) android/os/Bundle/getStringArray(java.lang.String) android/view/LayoutInflater/inflate(int,android.view.ViewGroup,boolean) android/os/Bundle/getParcelable(java.lang.String) com/litvin/israelweather/d/b() android/widget/ProgressBar/setVisibility(int) com/litvin/israelweather/ZoomableImageView/setOnTouchListener(android.view.View$OnTouchListener) android/widget/ProgressBar/setMax(int) android/widget/SeekBar/setOnSeekBarChangeListener(android.widget.SeekBar$OnSeekBarChangeListener) android/view/View/findViewById(int) android/widget/SeekBar/setMax(int) android/widget/ImageButton/setOnClickListener(android.view.View$OnClickListener) android/os/Bundle/getString(java.lang.String'
'ndroid/support/a/d/c/a(java.lang.Object,java.lang.StringBuilder)','java/lang/Class/getSimpleName() java/lang/StringBuilder/append(java.lang.String) java/lang/String/length() java/lang/System/identityHashCode(java.lang.Object) java/lang/Integer/toHexString(int) java/lang/Class/getName() java/lang/String/lastIndexOf(int) java/lang/String/substring(int) java/lang/StringBuilder/append(char) java/lang/Object/getClass('
'om/a/a/a/a/ag/a(java.lang.String,java.lang.String)','org/apache/http/HttpEntityEnclosingRequest/addHeader(java.lang.String,java.lang.String) android/text/TextUtils/isEmpty(java.lang.CharSequence) java/lang/StringBuilder/append(java.lang.String) java/lang/String/length() org/apache/http/entity/StringEntity/StringEntity(java.lang.String) org/apache/http/message/BasicHttpEntityEnclosingRequest/BasicHttpEntityEnclosingRequest(java.lang.String,java.lang.String) java/lang/StringBuilder/toString() java/lang/StringBuilder/StringBuilder() org/apache/http/HttpEntityEnclosingRequest/setEntity(org.apache.http.HttpEntity'
'om/a/a/a/a/ag/a(java.util.List)','org/apache/http/HttpResponse/getStatusLine() java/lang/Class/getSimpleName() android/text/TextUtils/isEmpty(java.lang.CharSequence) java/lang/StringBuilder/append(java.lang.String) java/net/URL/getProtocol() java/io/IOException/getMessage() java/util/List/size() java/lang/StringBuilder/StringBuilder() java/net/URL/getPath() org/apache/http/StatusLine/getStatusCode() java/util/List/get(int) java/lang/Math/min(int,int) org/apache/http/client/HttpClient/execute(org.apache.http.HttpHost,org.apache.http.HttpRequest) java/lang/StringBuilder/toString() org/apache/http/HttpEntityEnclosingRequest/addHeader(java.lang.String,java.lang.String) org/apache/http/HttpHost/HttpHost(java.lang.String,int,java.lang.String) java/lang/StringBuilder/append(int) java/lang/String/length() org/apache/http/HttpEntity/consumeContent() java/net/URL/getPort() java/net/URL/getHost() java/lang/Object/getClass() java/lang/System/currentTimeMillis() org/apache/http/HttpResponse/getEntity() org/apache/http/HttpHost/toHostString('
'om/a/a/a/a/ag/a(org.apache.http.HttpEntityEnclosingRequest)','org/apache/http/HttpEntityEnclosingRequest/getEntity() org/apache/http/HttpEntityEnclosingRequest/getAllHeaders() java/io/InputStream/read(byte[]) java/lang/String/String(byte[]) org/apache/http/HttpEntityEnclosingRequest/getRequestLine() java/lang/StringBuffer/append(java.lang.String) java/lang/StringBuffer/StringBuffer() java/lang/Object/toString() java/io/InputStream/available() org/apache/http/HttpEntity/getContent() java/lang/StringBuffer/toString('
'ndroid/support/a/a/g/a(android.view.View)','android/view/View/getRight() android/view/View/isHorizontalScrollBarEnabled() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) android/view/View/getId() java/lang/System/identityHashCode(java.lang.Object) java/lang/Integer/toHexString(int) java/lang/StringBuilder/StringBuilder(int) java/lang/Class/getName() android/view/View/isEnabled() java/lang/StringBuilder/append(char) android/view/View/isLongClickable() java/lang/Object/getClass() android/view/View/getBottom() android/content/res/Resources/getResourcePackageName(int) android/view/View/willNotDraw() android/content/res/Resources/getResourceTypeName(int) android/view/View/getVisibility() android/view/View/isFocusable() android/view/View/isFocused() android/view/View/getResources() android/view/View/isClickable() android/view/View/isPressed() android/content/res/Resources/getResourceEntryName(int) android/view/View/isVerticalScrollBarEnabled() android/view/View/getTop() android/view/View/getLeft() java/lang/StringBuilder/toString() android/view/View/isSelected('
'ndroid/support/a/a/g/onCreateView(java.lang.String,android.content.Context,android.util.AttributeSet)','java/lang/StringBuilder/append(java.lang.String) android/content/res/TypedArray/getString(int) java/lang/StringBuilder/StringBuilder() android/content/res/TypedArray/getResourceId(int,int) java/lang/IllegalArgumentException/IllegalArgumentException(java.lang.String) java/lang/StringBuilder/append(java.lang.Object) android/util/Log/v(java.lang.String,java.lang.String) java/lang/IllegalStateException/IllegalStateException(java.lang.String) android/content/Context/obtainStyledAttributes(android.util.AttributeSet,int[]) android/util/AttributeSet/getAttributeValue(java.lang.String,java.lang.String) java/lang/Integer/toHexString(int) java/lang/String/equals(java.lang.Object) android/content/res/TypedArray/recycle() android/util/AttributeSet/getPositionDescription() android/app/Activity/onCreateView(java.lang.String,android.content.Context,android.util.AttributeSet) java/lang/NullPointerException/NullPointerException() android/view/View/setId(int) android/view/View/getTag() java/lang/StringBuilder/toString() android/view/View/setTag(java.lang.Object'
'ndroid/support/a/a/g/dump(java.lang.String,java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])','java/io/PrintWriter/print(boolean) android/view/Window/getDecorView() java/lang/StringBuilder/append(java.lang.String) java/lang/System/identityHashCode(java.lang.Object) java/io/PrintWriter/println(java.lang.String) java/lang/StringBuilder/toString() java/lang/Integer/toHexString(int) java/lang/StringBuilder/StringBuilder() java/io/PrintWriter/print(java.lang.String) android/support/a/a/g/getWindow() java/io/PrintWriter/println(boolean'
'om/litvin/israelweather/e/a(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)','android/widget/ArrayAdapter/setDropDownViewResource(int) android/widget/ArrayAdapter/createFromResource(android.content.Context,int,int) android/support/a/a/g/getResources() android/widget/Spinner/setOnItemSelectedListener(android.widget.AdapterView$OnItemSelectedListener) android/widget/Spinner/setSelection(int) android/support/a/a/g/getSharedPreferences(java.lang.String,int) android/content/res/Resources/getStringArray(int) android/support/a/a/g/getBaseContext() android/content/res/Resources/getInteger(int) android/content/res/Resources/getIntArray(int) android/widget/Spinner/setVisibility(int) com/litvin/israelweather/e/c() android/widget/Spinner/setAdapter(android.widget.SpinnerAdapter) android/content/SharedPreferences/getInt(java.lang.String,int'
'ndroid/support/v7/internal/widget/ActionBarContainer/onMeasure(int,int)','android/view/View/getVisibility() android/support/v7/internal/widget/ActionBarContainer/getMeasuredWidth() android/support/v7/internal/widget/ActionBarView/getMeasuredHeight() android/support/v7/internal/widget/ActionBarView/getLayoutParams() android/view/View$MeasureSpec/getMode(int) android/view/View$MeasureSpec/getSize(int) android/support/v7/internal/widget/ActionBarContainer/setMeasuredDimension(int,int) java/lang/Math/min(int,int) android/widget/FrameLayout/onMeasure(int,int) android/view/View/getMeasuredHeight('
'ndroid/support/v7/internal/widget/ActionBarContainer/onLayout(boolean,int,int,int,int)','android/support/v7/internal/widget/ActionBarView/getLeft() android/view/View/getVisibility() android/support/v7/internal/widget/ActionBarView/getBottom() android/support/v7/internal/widget/ActionBarContainer/getMeasuredWidth() android/support/v7/internal/widget/ActionBarView/getTop() android/support/v7/internal/widget/ActionBarView/getRight() android/support/v7/internal/widget/ActionBarContainer/getMeasuredHeight() android/view/View/getMeasuredHeight() android/view/View/getRight() android/support/v7/internal/widget/ActionBarContainer/getChildAt(int) android/support/v7/internal/widget/ActionBarContainer/getChildCount() android/graphics/drawable/Drawable/setBounds(int,int,int,int) android/widget/FrameLayout/onLayout(boolean,int,int,int,int) android/view/View/layout(int,int,int,int) android/view/View/getTop() android/view/View/getLeft() android/support/v7/internal/widget/ActionBarContainer/invalidate() android/view/View/offsetTopAndBottom(int) android/view/View/getBottom('
